,Unnamed: 0,objectid_1,toponimo,n_id,estado,sinal_vert,sinal_info_vert,n_lugares,x,y,geometry
42,42,44,RSPOU0,47,ATIVO,,SIM,10,-8.598762237471092,41.15862364148038,POINT (-8.598762237471092 41.15862364148038)
43,43,48,RACAR1,51,ATIVO,,SIM,10,-8.59304912562772,41.14723265526702,POINT (-8.59304912562772 41.14723265526702)
44,44,13,Rua Alfredo Allen,14,ATIVO,NAO,SIM,10,-8.603718166186875,41.17388279259081,POINT (-8.603718166186875 41.17388279259081)
45,45,40,RPBJC0,43,ATIVO,SIM,SIM,10,-8.597846352394447,41.16297823955173,POINT (-8.597846352394447 41.16297823955173)
46,46,57,RGAZE0,60,ATIVO,,SIM,10,-8.607074919534137,41.15232682633317,POINT (-8.607074919534137 41.15232682633317)
47,47,53,RENTR0,56,ATIVO,,SIM,10,-8.606391461557603,41.14504102853771,POINT (-8.606391461557603 41.14504102853771)
48,48,74,RCALE0,76,ATIVO,,SIM,10,-8.642153129706012,41.15403180167327,POINT (-8.642153129706012 41.15403180167327)
49,49,72,VPANO0,74,ATIVO,,SIM,10,-8.6364487519926,41.149900124273024,POINT (-8.6364487519926 41.149900124273024)
50,50,73,RESTR0,75,ATIVO,,SIM,10,-8.6392476443513,41.15053356187868,POINT (-8.6392476443513 41.15053356187868)
51,51,67,PGGFE0,69,ATIVO,,SIM,10,-8.614797240458671,41.14791434403428,POINT (-8.614797240458671 41.14791434403428)
52,52,69,RJDIN0,71,ATIVO,,SIM,10,-8.625732492337647,41.14939766076716,POINT (-8.625732492337647 41.14939766076716)
53,53,58,RBRAG0,61,ATIVO,,SIM,10,-8.616856025788781,41.15256335911993,POINT (-8.616856025788781 41.15256335911993)
54,54,55,LADIA0,58,ATIVO,,SIM,10,-8.608252393753006,41.14263161952962,POINT (-8.608252393753006 41.14263161952962)
55,55,64,CMPAT0,67,ATIVO,,SIM,10,-8.617372731123758,41.14524463788981,POINT (-8.617372731123758 41.14524463788981)
56,56,78,Praça do Bom Sucesso,80,ATIVO,NAO,SIM,10,-8.629478652795246,41.15552256244731,POINT (-8.629478652795246 41.15552256244731)
57,57,54,RTUJA0,57,ATIVO,,SIM,10,-8.607341710747715,41.14618463460946,POINT (-8.607341710747715 41.14618463460946)
58,58,63,RSFNE0,66,ATIVO,,SIM,10,-8.614230869819982,41.14589995143287,POINT (-8.614230869819982 41.14589995143287)
59,59,49,LSREI0,52,ATIVO,,SIM,10,-8.596018438836749,41.14606636610293,POINT (-8.596018438836749 41.14606636610293)
60,60,50,ARFRE0,53,ATIVO,,SIM,10,-8.60055119945503,41.145849604564994,POINT (-8.60055119945503 41.145849604564994)
61,61,60,RMBOM0,63,ATIVO,,SIM,10,-8.622667382402886,41.14937878989628,POINT (-8.622667382402886 41.14937878989628)
62,62,81,ABOAV0,83,ATIVO,,SIM,10,-8.624695365606701,41.157261198961535,POINT (-8.624695365606701 41.157261198961535)
63,63,52,PPOVE0,55,ATIVO,,SIM,10,-8.604239607529887,41.1461067942526,POINT (-8.604239607529887 41.1461067942526)
64,64,56,RFTOM0,59,ATIVO,,SIM,10,-8.605011077350937,41.149566085374815,POINT (-8.605011077350937 41.149566085374815)
65,65,71,PVIRT0,73,ATIVO,,SIM,10,-8.618336288058297,41.14429301149725,POINT (-8.618336288058297 41.14429301149725)
66,66,68,RPVJC0,70,ATIVO,,SIM,10,-8.618061340178482,41.14800118491093,POINT (-8.618061340178482 41.14800118491093)
67,67,62,RDFSI0,65,ATIVO,,SIM,10,-8.615410031871955,41.14627234624405,POINT (-8.615410031871955 41.14627234624405)
68,68,51,RDJQU0,54,ATIVO,,SIM,10,-8.601958463312037,41.14618635718441,POINT (-8.601958463312037 41.14618635718441)
69,69,59,RMBOM0,62,ATIVO,,SIM,10,-8.617941417246126,41.15001718398759,POINT (-8.617941417246126 41.15001718398759)
70,70,70,RVILA0,72,ATIVO,,SIM,10,-8.62675216944816,41.14888378632995,POINT (-8.62675216944816 41.14888378632995)
71,71,61,CMPAT0,64,ATIVO,,SIM,10,-8.615845901299656,41.14528042504495,POINT (-8.615845901299656 41.14528042504495)
72,72,112,RDGOI0,114,ATIVO,,SIM,10,-8.612371358099553,41.16194921116132,POINT (-8.612371358099553 41.16194921116132)
73,73,91,ABOAV0,93,ATIVO,,SIM,10,-8.63766935797702,41.159259566044746,POINT (-8.63766935797702 41.159259566044746)
74,74,89,ABOAV0,91,ATIVO,,SIM,10,-8.633587813749825,41.15874489588034,POINT (-8.633587813749825 41.15874489588034)
75,75,117,RTVAL1,119,ATIVO,,SIM,10,-8.61072334979509,41.1436500395026,POINT (-8.61072334979509 41.1436500395026)
76,76,116,RRORT0,118,ATIVO,,SIM,10,-8.611616143905113,41.14921292338696,POINT (-8.611616143905113 41.14921292338696)
77,77,115,RGCCA0,117,ATIVO,,SIM,10,-8.609745325447978,41.14908046471472,POINT (-8.609745325447978 41.14908046471472)
78,78,111,RCONS0,113,ATIVO,,SIM,10,-8.607713864294885,41.16224555472844,POINT (-8.607713864294885 41.16224555472844)
79,79,92,ABOAV0,94,ATIVO,,SIM,10,-8.643538874332814,41.16040956430687,POINT (-8.643538874332814 41.16040956430687)
80,80,100,AMGCO0,102,ATIVO,,SIM,10,-8.671648457321165,41.15545343929727,POINT (-8.671648457321165 41.15545343929727)
81,81,102,AMGCO0,104,ATIVO,,SIM,10,-8.667438985524017,41.157103704565074,POINT (-8.667438985524017 41.157103704565074)
82,82,93,RJGRA0,95,ATIVO,,SIM,10,-8.643996245843132,41.16016829428952,POINT (-8.643996245843132 41.16016829428952)
83,83,113,RALRE0,115,ATIVO,,SIM,10,-8.613669098961202,41.16523306725913,POINT (-8.613669098961202 41.16523306725913)
84,84,101,AMGCO0,103,ATIVO,,SIM,10,-8.667533902261829,41.157341028219925,POINT (-8.667533902261829 41.157341028219925)
85,85,109,RHSCO0,111,ATIVO,,SIM,10,-8.630595409049455,41.16139349981294,POINT (-8.630595409049455 41.16139349981294)
86,86,94,ADAGU0,96,ATIVO,,SIM,10,-8.662388388682608,41.16423563044233,POINT (-8.662388388682608 41.16423563044233)
87,87,107,RAPAI0,109,ATIVO,,SIM,10,-8.658933511326447,41.15303993015527,POINT (-8.658933511326447 41.15303993015527)
88,88,86,Avenida da Boavista,88,ATIVO,NAO,SIM,10,-8.627676305245206,41.15758856001361,POINT (-8.627676305245206 41.15758856001361)
89,89,108,RAMOT0,110,ATIVO,,SIM,10,-8.655788091621602,41.15028732066543,POINT (-8.655788091621602 41.15028732066543)
90,90,105,RGEAN0,107,ATIVO,,SIM,10,-8.66041248324485,41.15765667949924,POINT (-8.66041248324485 41.15765667949924)
91,91,110,AFRAN0,112,ATIVO,,SIM,10,-8.628401356461273,41.16103504814519,POINT (-8.628401356461273 41.16103504814519)
92,92,87,RJDIN0,89,ATIVO,,SIM,10,-8.628486991181786,41.15683020753047,POINT (-8.628486991181786 41.15683020753047)
93,93,145,RCONS0,149,ATIVO,,SIM,10,-8.611364989050976,41.16270350351317,POINT (-8.611364989050976 41.16270350351317)
94,94,154,RIDMA0,158,ATIVO,,SIM,10,-8.621889042012429,41.15890452578953,POINT (-8.621889042012429 41.15890452578953)
95,95,152,RCEDO0,156,ATIVO,,SIM,10,-8.61898213775843,41.15479966542438,POINT (-8.61898213775843 41.15479966542438)
96,96,143,RCONS0,147,ATIVO,,SIM,10,-8.620386845596084,41.163832966271706,POINT (-8.620386845596084 41.163832966271706)
97,97,141,RMPAZ0,145,ATIVO,,SIM,10,-8.646929562804207,41.172789915642966,POINT (-8.646929562804207 41.172789915642966)
98,98,146,RDGOI0,150,ATIVO,,SIM,10,-8.611678480973158,41.1616877711644,POINT (-8.611678480973158 41.1616877711644)
99,99,153,RMELO0,157,ATIVO,,SIM,10,-8.618031171810738,41.157274493828425,POINT (-8.618031171810738 41.157274493828425)
100,100,150,LLAPA0,154,ATIVO,,SIM,10,-8.611472089236978,41.15697148455987,POINT (-8.611472089236978 41.15697148455987)
101,101,148,RCAMO0,152,ATIVO,,SIM,10,-8.60986921078646,41.16005008520077,POINT (-8.60986921078646 41.16005008520077)
102,102,118,RTVAL1,120,ATIVO,,SIM,10,-8.610713073841133,41.143623875341255,POINT (-8.610713073841133 41.143623875341255)
103,103,124,RDRJO0,127,ATIVO,,SIM,10,-8.612756528195442,41.15013488230771,POINT (-8.612756528195442 41.15013488230771)
104,104,133,ADAGU0,137,ATIVO,,SIM,10,-8.659102072930915,41.1681823843448,POINT (-8.659102072930915 41.1681823843448)
105,105,123,RCONS0,126,ATIVO,,SIM,10,-8.60366352822203,41.16173399423467,POINT (-8.60366352822203 41.16173399423467)
106,106,128,RFTOM0,131,ATIVO,,SIM,10,-8.59902230178563,41.14836395844218,POINT (-8.59902230178563 41.14836395844218)
107,107,149,RSBRA0,153,ATIVO,,SIM,10,-8.61006978789822,41.160294741001394,POINT (-8.61006978789822 41.160294741001394)
108,108,147,RCONS0,151,ATIVO,,SIM,10,-8.606562612315788,41.16209973664338,POINT (-8.606562612315788 41.16209973664338)
109,109,127,RSBAN0,130,ATIVO,,SIM,10,-8.608252109635577,41.14799038363815,POINT (-8.608252109635577 41.14799038363815)
110,110,129,PCORU0,132,ATIVO,,SIM,10,-8.579527732110495,41.15846321641007,POINT (-8.579527732110495 41.15846321641007)
111,111,114,ROURO0,116,ATIVO,NAO,SIM,10,-8.637831612666028,41.14838288320763,POINT (-8.637831612666028 41.14838288320763)
112,112,130,PCORU0,133,ATIVO,,SIM,10,-8.579472881091817,41.15625792374073,POINT (-8.579472881091817 41.15625792374073)
113,113,120,RMSIL0,123,ATIVO,,SIM,10,-8.613383144153103,41.143407708742544,POINT (-8.613383144153103 41.143407708742544)
114,114,151,RACAB0,155,ATIVO,,SIM,10,-8.618493194149258,41.155095804637135,POINT (-8.618493194149258 41.155095804637135)
115,115,126,RDRJO0,129,ATIVO,,SIM,10,-8.611750932906826,41.15036699712578,POINT (-8.611750932906826 41.15036699712578)
116,116,144,RCONS0,148,ATIVO,SIM,SIM,10,-8.616112786333025,41.1633072917458,POINT (-8.616112786333025 41.1633072917458)
117,117,121,RFBOR0,124,ATIVO,,SIM,10,-8.615234389863081,41.14225445375533,POINT (-8.615234389863081 41.14225445375533)
118,118,140,RMPAZ0,144,ATIVO,,SIM,10,-8.651400409169094,41.17658068974055,POINT (-8.651400409169094 41.17658068974055)
119,119,142,RSALA1,146,ATIVO,,SIM,10,-8.657652650444906,41.17623902146438,POINT (-8.657652650444906 41.17623902146438)
120,120,122,RMSIL0,125,ATIVO,,SIM,10,-8.614460886195284,41.14209730703367,POINT (-8.614460886195284 41.14209730703367)
121,121,155,RBREI0,159,ATIVO,SIM,SIM,10,-8.618015280221275,41.15150328657269,POINT (-8.618015280221275 41.15150328657269)
122,122,174,RCALE0,179,ATIVO,,SIM,10,-8.643231524949968,41.154350828153255,POINT (-8.643231524949968 41.154350828153255)
123,123,167,RREST0,172,ATIVO,,SIM,10,-8.62631091027702,41.1454175316679,POINT (-8.62631091027702 41.1454175316679)
124,124,170,RAAGO0,175,ATIVO,,SIM,10,-8.620473357989917,41.147101808754215,POINT (-8.620473357989917 41.147101808754215)
125,125,177,RPGAM0,182,ATIVO,,SIM,10,-8.659747440291873,41.14836335300961,POINT (-8.659747440291873 41.14836335300961)
126,126,160,RPLEA0,165,ATIVO,,SIM,10,-8.669341630273374,41.1631934304752,POINT (-8.669341630273374 41.1631934304752)
127,127,172,RCGUL0,177,ATIVO,,SIM,10,-8.627456535357185,41.15171690375948,POINT (-8.627456535357185 41.15171690375948)
128,128,161,PDAQU0,166,ATIVO,,SIM,10,-8.666149852152076,41.15951815148669,POINT (-8.666149852152076 41.15951815148669)
129,129,162,Avenida do Marechal Gomes da Costa,167,ATIVO,NAO,SIM,10,-8.665500201331989,41.15786737717573,POINT (-8.665500201331989 41.15786737717573)
130,130,168,RAAGO0,173,ATIVO,,SIM,10,-8.620297234364317,41.146331864748,POINT (-8.620297234364317 41.146331864748)
131,131,156,RGCRI0,161,ATIVO,,SIM,10,-8.609773765507565,41.153440455464434,POINT (-8.609773765507565 41.153440455464434)
132,132,158,RGCRI0,163,ATIVO,,SIM,10,-8.605519607159096,41.15339894338761,POINT (-8.605519607159096 41.15339894338761)
133,133,182,RPMAN0,187,ATIVO,,SIM,10,-8.606382765264405,41.14687243323672,POINT (-8.606382765264405 41.14687243323672)
134,134,159,RSCAT0,164,ATIVO,,SIM,10,-8.60465771698022,41.156879467060456,POINT (-8.60465771698022 41.156879467060456)
135,135,157,RGCRI0,162,ATIVO,,SIM,10,-8.610261509591101,41.15344121153065,POINT (-8.610261509591101 41.15344121153065)
136,136,190,ACXAN0,195,ATIVO,,SIM,10,-8.632128858160078,41.17000832381044,POINT (-8.632128858160078 41.17000832381044)
137,137,186,AVGAM0,191,ATIVO,,SIM,10,-8.656738849797563,41.17080079079101,POINT (-8.656738849797563 41.17080079079101)
138,138,185,RDMAI0,190,ATIVO,,SIM,10,-8.652346754953127,41.17397417020399,POINT (-8.652346754953127 41.17397417020399)
139,139,184,RDMAI0,189,ATIVO,,SIM,10,-8.648177816105697,41.170817504791344,POINT (-8.648177816105697 41.170817504791344)
140,140,187,RIRAM0,192,ATIVO,,SIM,10,-8.648250016080297,41.16848393604605,POINT (-8.648250016080297 41.16848393604605)
141,141,188,RDMAC1,193,ATIVO,,SIM,10,-8.632134046980468,41.165292958649566,POINT (-8.632134046980468 41.165292958649566)
142,142,135,RCRUZ1,139,ATIVO,,SIM,10,-8.641683156269607,41.17235593788317,POINT (-8.641683156269607 41.17235593788317)
143,143,137,REFDI0,141,ATIVO,,SIM,10,-8.645910132529325,41.17501223999392,POINT (-8.645910132529325 41.17501223999392)
144,144,139,RDJCO0,143,ATIVO,,SIM,10,-8.646124684915234,41.17697833937039,POINT (-8.646124684915234 41.17697833937039)
145,145,171,RJDIN0,176,ATIVO,,SIM,10,-8.626056356346782,41.150908311347536,POINT (-8.626056356346782 41.150908311347536)
146,146,180,RAJGU0,185,ATIVO,,SIM,10,-8.61555005758736,41.148133038471215,POINT (-8.61555005758736 41.148133038471215)
147,147,181,RGCRI0,186,ATIVO,,SIM,10,-8.608400618212496,41.15341778470847,POINT (-8.608400618212496 41.15341778470847)
148,148,179,RACUN0,184,ATIVO,,SIM,10,-8.620889800839974,41.15600526972139,POINT (-8.620889800839974 41.15600526972139)
149,149,169,RROSA0,174,ATIVO,,SIM,10,-8.620503784603855,41.14788339413052,POINT (-8.620503784603855 41.14788339413052)
